date,title,hebrew,category,yomtov,source
2025-09-13,Leil Selichot,סליחות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-09-22,Erev Rosh Hashana,ערב ראש השנה,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-09-23,Rosh Hashana 5786,ראש השנה 5786,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-09-24,Rosh Hashana II,ראש השנה ב׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-10-01,Erev Yom Kippur,ערב יום כיפור,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-02,Yom Kippur,יום כיפור,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-10-06,Erev Sukkot,ערב סוכות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-07,Sukkot I,סוכות א׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-10-08,Sukkot II,סוכות ב׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-10-09,Sukkot III (CH’’M),סוכות ג׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-10,Sukkot IV (CH’’M),סוכות ד׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-11,Sukkot V (CH’’M),סוכות ה׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-12,Sukkot VI (CH’’M),סוכות ו׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-13,Sukkot VII (Hoshana Raba),סוכות ז׳ (הושענא רבה),holiday,False,Hebcal REST API (CC-BY-4.0)
2025-10-14,Shmini Atzeret,שמיני עצרת,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-10-15,Simchat Torah,שמחת תורה,holiday,True,Hebcal REST API (CC-BY-4.0)
2025-11-20,Sigd,חג הסיגד,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-14,Chanukah: 1 Candle,חנוכה: א׳ נר,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-15,Chanukah: 2 Candles,חנוכה: ב׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-16,Chanukah: 3 Candles,חנוכה: ג׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-17,Chanukah: 4 Candles,חנוכה: ד׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-18,Chanukah: 5 Candles,חנוכה: ה׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-19,Chanukah: 6 Candles,חנוכה: ו׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-20,Chag HaBanot,חג הבנות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-20,Chanukah: 7 Candles,חנוכה: ז׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-21,Chanukah: 8 Candles,חנוכה: ח׳ נרות,holiday,False,Hebcal REST API (CC-BY-4.0)
2025-12-22,Chanukah: 8th Day,חנוכה: יום ח׳,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-02-02,Tu BiShvat,ט״ו בשבט,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-03-02,Erev Purim,ערב פורים,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-03-03,Purim,פורים,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-03-04,Shushan Purim,שושן פורים,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-03-28,Yom HaAliyah,יום העליה,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-01,Erev Pesach,ערב פסח,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-02,Pesach I,פסח א׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2026-04-03,Pesach II,פסח ב׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2026-04-04,Pesach III (CH’’M),פסח ג׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-05,Pesach IV (CH’’M),פסח ד׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-06,Pesach V (CH’’M),פסח ה׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-07,Pesach VI (CH’’M),פסח ו׳ (חוה״מ),holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-08,Pesach VII,פסח ז׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2026-04-09,Pesach VIII,פסח ח׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2026-04-14,Yom HaShoah,יום השואה,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-21,Yom HaZikaron,יום הזכרון,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-04-22,Yom HaAtzma’ut,יום העצמאות,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-05-01,Pesach Sheni,פסח שני,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-05-05,Lag BaOmer,ל״ג בעומר,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-05-15,Yom Yerushalayim,יום ירושלים,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-05-21,Erev Shavuot,ערב שבועות,holiday,False,Hebcal REST API (CC-BY-4.0)
2026-05-22,Shavuot I,שבועות א׳,holiday,True,Hebcal REST API (CC-BY-4.0)
2026-05-23,Shavuot II,שבועות ב׳,holiday,True,Hebcal REST API (CC-BY-4.0)
