product_id,product_name,category,last_count_date,last_count,received,pos_used,book,physical_stock,gap_units,gap_is_material
P043,Coca-Cola,soft_drink,2026-06-10,57.98,240.0,53.2,244.78,220.9,23.88,True
P009,Bombay Sapphire,gin,2026-06-10,15.42,0,1.2,14.22,0.0,14.22,True
K003,Carlsberg 30L,draught_beer,2026-06-10,6.27,3.0,2.31,6.96,1.15,5.81,True
P038,House Red Wine,wine,2026-06-10,24.09,0,7.4,16.69,15.058,1.632,True
P039,House White Wine,wine,2026-06-10,23.43,0,7.4,16.03,14.4,1.63,True
P025,Bacardi Carta Blanca,rum,2026-06-10,21.37,0,7.3,14.07,12.466,1.604,True
P031,Patron Silver,tequila,2026-06-10,14.87,0,5.54,9.33,8.131,1.199,True
P013,Gordon's,gin,2026-06-10,10.74,12.0,5.11,17.63,16.504,1.126,True
P014,Absolut,vodka,2026-06-10,9.51,12.0,5.87,15.64,14.582,1.058,True
P016,Grey Goose,vodka,2026-06-10,15.14,0,1.37,13.77,12.768,1.002,True
P026,Havana Club 3,rum,2026-06-10,11.63,0,1.03,10.6,9.604,0.996,True
P019,Jameson,whiskey,2026-06-10,8.16,0,2.83,5.33,4.474,0.856,True
K005,Weihenstephan 30L,draught_beer,2026-06-10,4.69,2.0,1.34,5.35,4.638,0.712,True
P021,Johnnie Walker Black,whiskey,2026-06-10,14.2,0,1.54,12.66,12.138,0.522,True
K004,Malka 30L,draught_beer,2026-06-10,5.37,2.0,1.79,5.58,5.181,0.399,False
K001,Carlsberg 50L,draught_beer,2026-06-10,4.67,2.0,1.8,4.87,4.475,0.395,False
P029,Jose Cuervo,tequila,2026-06-10,8.79,0,1.41,7.38,7.068,0.312,False
P010,Tanqueray,gin,2026-06-10,11.75,0,1.03,10.72,10.433,0.287,False
K002,Tuborg 50L,draught_beer,2026-06-10,4.43,1.0,1.31,4.12,3.841,0.279,False
P027,Captain Morgan,rum,2026-06-10,10.04,0,1.03,9.01,9.147,-0.137,False
P036,Kahlua,liqueur,2026-06-10,8.28,0,2.06,6.22,6.349,-0.129,False
