date,order_id,product_id,units_received
2025-09-03,O000001,K001,1
2025-09-03,O000003,K005,1
2025-09-05,O000002,K002,1
2025-09-05,O000004,P010,12
2025-09-05,O000005,P022,12
2025-09-05,O000006,P026,12
2025-09-05,O000007,P027,12
2025-09-06,O000008,K001,1
2025-09-06,O000009,K002,1
2025-09-06,O000010,K003,2
2025-09-06,O000011,K004,2
2025-09-06,O000012,K005,1
2025-09-08,O000013,P054,6
2025-09-08,O000014,P055,6
2025-09-09,O000015,P009,12
2025-09-09,O000016,P011,12
2025-09-09,O000017,P012,12
2025-09-09,O000018,P015,12
2025-09-09,O000019,P016,12
2025-09-09,O000020,P017,12
2025-09-09,O000021,P018,12
2025-09-09,O000022,P019,12
2025-09-09,O000024,P021,12
2025-09-09,O000025,P023,12
2025-09-09,O000026,P024,12
2025-09-09,O000027,P029,12
2025-09-09,O000028,P030,12
2025-09-09,O000029,P032,12
2025-09-09,O000030,P034,12
2025-09-09,O000031,P039,12
2025-09-09,O000033,P042,12
2025-09-10,O000035,K001,2
2025-09-10,O000036,K002,2
2025-09-10,O000037,K003,3
2025-09-10,O000038,K004,3
2025-09-10,O000039,K005,2
2025-09-11,O000023,P020,12
2025-09-11,O000032,P040,12
2025-09-11,O000040,P045,24
2025-09-11,O000041,P046,24
2025-09-11,O000042,P049,24
2025-09-11,O000043,P052,6
2025-09-11,O000044,P053,6
2025-09-12,O000034,P004,24
2025-09-12,O000045,P013,12
2025-09-12,O000046,P014,12
2025-09-12,O000047,P025,12
2025-09-12,O000048,P031,12
2025-09-12,O000049,P033,12
2025-09-12,O000050,P035,12
2025-09-12,O000051,P036,12
2025-09-12,O000052,P037,12
2025-09-12,O000053,P038,12
2025-09-13,O000054,P041,12
2025-09-13,O000055,P001,24
2025-09-13,O000056,P002,24
2025-09-13,O000057,P003,24
2025-09-13,O000058,P005,24
2025-09-13,O000060,P007,24
2025-09-13,O000061,P008,24
2025-09-13,O000062,K001,1
2025-09-13,O000063,K002,1
2025-09-13,O000064,K003,3
2025-09-13,O000065,K004,1
2025-09-13,O000066,K005,1
2025-09-15,O000067,P043,72
2025-09-15,O000068,P044,48
2025-09-15,O000069,P045,24
2025-09-15,O000070,P046,48
2025-09-15,O000071,P047,48
