date,incident_id,type,product_id,units,ml
2025-09-19,INC-001,breakage,P002,1.0,330.0
2025-10-08,INC-002,miscount,P038,0.0,0.0
2025-10-30,INC-003,comp,P011,1.0286,720.0
2025-11-14,INC-004,overpour,P020,0.072,50.4
2025-11-14,INC-004,overpour,P020,0.0,0.0
2025-11-15,INC-004,overpour,P020,0.0617,43.2
2025-11-16,INC-004,overpour,P020,0.0411,28.8
2025-11-17,INC-004,overpour,P020,0.0103,7.2
2025-11-18,INC-004,overpour,P020,0.0617,43.2
2025-11-19,INC-004,overpour,P020,0.0411,28.8
2025-11-20,INC-004,overpour,P020,0.144,100.8
2025-11-21,INC-004,overpour,P020,0.1337,93.6
2025-11-22,INC-004,overpour,P020,0.0926,64.8
2025-11-23,INC-004,overpour,P020,0.0617,43.2
2025-11-24,INC-004,overpour,P020,0.0514,36.0
2025-11-25,INC-004,overpour,P020,0.0617,43.2
2025-11-26,INC-004,overpour,P020,0.0309,21.6
2025-11-27,INC-004,overpour,P020,0.0617,43.2
2025-12-05,INC-005,keg_rma,K002,0.3,15000.0
2025-12-26,INC-006,breakage,P041,2.0,1500.0
2026-01-14,INC-007,delivery_short,P048,0.0,0.0
2026-02-11,INC-008,miscount,P014,0.0,0.0
2026-03-07,INC-009,walkout,P022,0.3429,240.0
2026-04-18,INC-010,breakage,P034,1.0,700.0
2026-05-01,INC-011,overpour,P025,0.7808,546.6
2026-05-01,INC-011,overpour,P025,0.0,0.0
2026-05-02,INC-011,overpour,P025,0.3575,250.2
2026-05-03,INC-011,overpour,P025,0.355,248.5
2026-05-04,INC-011,overpour,P025,0.1659,116.1
2026-05-05,INC-011,overpour,P025,0.2428,169.9
2026-05-06,INC-011,overpour,P025,0.2708,189.6
2026-05-07,INC-011,overpour,P025,0.3599,251.9
2026-05-08,INC-011,overpour,P025,0.5539,387.7
2026-05-09,INC-011,overpour,P025,0.3989,279.3
2026-05-20,INC-012,miscount,P046,0.0,0.0
2026-06-05,INC-042,overpour,P014,0.4269,298.8
2026-06-05,INC-042,overpour,P014,0.0,0.0
2026-06-06,INC-042,overpour,P014,0.3189,223.2
2026-06-07,INC-042,overpour,P014,0.1504,105.3
2026-06-08,INC-042,overpour,P014,0.1723,120.6
2026-06-09,INC-042,overpour,P014,0.2494,174.6
2026-06-10,INC-042,overpour,P014,0.2019,141.3
2026-06-10,INC-048,delivery_short,P043,0.0,0.0
2026-06-11,INC-042,overpour,P014,0.2751,192.6
2026-06-11,INC-043,breakage,P016,1.0,700.0
2026-06-12,INC-042,overpour,P014,0.4487,314.1
2026-06-12,INC-041,unrecorded_removal,P009,7.2097,5046.8
2026-06-12,INC-044,breakage,P026,1.0,700.0
2026-06-12,INC-045,comp,P019,0.8571,600.0
2026-06-12,INC-047,keg_rma,K005,0.42,12600.0
2026-06-13,INC-042,overpour,P014,0.3703,259.2
2026-06-13,INC-050,unrecorded_removal,K003,4.6495,139485.0
2026-06-13,INC-046,comp,P031,1.2,840.0
2026-06-13,INC-049,walkout,P021,0.5143,360.0
