report_id,date,quality_ground_truth,requires_clarification,language,products_reported,product_names,ambiguous_products,true_units_used,true_closing_stock
SR000001,2025-09-01,good,False,he,P001 | P008 | P002 | P006 | P004,Carlsberg | Erdinger | Heineken | Maccabee | Guinness,,P001=4.0 | P008=2.0 | P002=6.0 | P006=3.0 | P004=2.0,P001=165.4 | P008=44.2 | P002=132.6 | P006=74.0 | P004=59.6
SR000002,2025-09-02,good,False,he,P038 | P031 | P005 | P039,House Red Wine | Patron Silver | Goldstar | House White Wine,,P038=1.5 | P031=1.2 | P005=3.0 | P039=2.0,P038=30.2 | P031=17.7 | P005=127.6 | P039=34.6
SR000003,2025-09-03,messy,False,he,P005 | P033 | P001,Goldstar | Aperol | Carlsberg,,P005=6.0 | P033=1.8 | P001=9.0,P005=121.6 | P033=29.4 | P001=154.4
SR000004,2025-09-04,ambiguous,True,en,P006 | P008 | P001 | P002,Maccabee | Erdinger | Carlsberg | Heineken,P002,P006=4.0 | P008=4.0 | P001=8.0 | P002=9.0,P006=63.0 | P008=37.2 | P001=146.4 | P002=106.6
SR000005,2025-09-05,good,False,he,P039 | P005 | P041 | P004 | K003,House White Wine | Goldstar | Prosecco | Guinness | Carlsberg 30L,,P039=3.4 | P005=11.0 | P041=5.5 | P004=6.0 | K003=1.0,P039=26.6 | P005=102.6 | P041=38.6 | P004=41.6 | K003=4.5
SR000006,2025-09-06,good,False,he,P039 | P042 | P041 | P007,House White Wine | Chardonnay | Prosecco | Stella Artois,,P039=4.6 | P042=0.8 | P041=5.1 | P007=11.0,P039=22.0 | P042=6.2 | P041=33.5 | P007=58.4
SR000007,2025-09-07,good,False,he,P033 | P005 | P001 | P039,Aperol | Goldstar | Carlsberg | House White Wine,,P033=1.3 | P005=4.0 | P001=6.0 | P039=2.0,P033=20.0 | P005=81.6 | P001=117.4 | P039=20.0
SR000008,2025-09-08,good,False,en,P003 | P002 | P025 | P014 | P008,Corona | Heineken | Bacardi Carta Blanca | Absolut | Erdinger,,P003=7.0 | P002=7.0 | P025=2.0 | P014=0.9 | P008=2.0,P003=68.2 | P002=67.6 | P025=18.2 | P014=11.8 | P008=26.2
SR000009,2025-09-09,good,False,en,P013 | P001 | P007 | P008,Gordon's | Carlsberg | Stella Artois | Erdinger,,P013=1.0 | P001=13.0 | P007=3.0 | P008=2.0,P013=12.5 | P001=95.4 | P007=47.4 | P008=24.2
SR000010,2025-09-10,good,False,he,P008 | P001 | P002,Erdinger | Carlsberg | Heineken,,P008=3.0 | P001=13.0 | P002=8.0,P008=21.2 | P001=82.4 | P002=54.6
SR000011,2025-09-11,messy,False,en,P039 | P002 | P025 | P041 | P013,House White Wine | Heineken | Bacardi Carta Blanca | Prosecco | Gordon's,,P039=2.9 | P002=12.0 | P025=2.7 | P041=3.7 | P013=2.0,P039=22.7 | P002=42.6 | P025=11.8 | P041=19.5 | P013=9.3
SR000012,2025-09-12,ambiguous,True,en,P001 | P002 | P003 | P042 | P039,Carlsberg | Heineken | Corona | Chardonnay | House White Wine,P001,P001=17.0 | P002=9.0 | P003=10.0 | P042=0.8 | P039=3.2,P001=52.4 | P002=33.6 | P003=29.2 | P042=14.4 | P039=19.6
SR000013,2025-09-13,good,False,he,P001 | P039 | P002 | P014,Carlsberg | House White Wine | Heineken | Absolut,,P001=13.0 | P039=2.7 | P002=13.0 | P014=1.6,P001=63.4 | P039=16.9 | P002=44.6 | P014=16.0
SR000014,2025-09-14,good,False,en,P004 | P025 | P001 | P013,Guinness | Bacardi Carta Blanca | Carlsberg | Gordon's,,P004=5.0 | P025=2.0 | P001=6.0 | P013=0.9,P004=25.6 | P025=16.1 | P001=57.4 | P013=16.1
SR000015,2025-09-15,good,False,he,P002 | P003 | P013 | P007,Heineken | Corona | Gordon's | Stella Artois,,P002=4.0 | P003=5.0 | P013=1.2 | P007=3.0,P002=30.6 | P003=32.2 | P013=14.9 | P007=34.4
SR000016,2025-09-16,messy,False,en,P001 | P041 | P039 | P008,Carlsberg | Prosecco | House White Wine | Erdinger,,P001=7.0 | P041=2.9 | P039=1.7 | P008=2.0,P001=44.4 | P041=27.4 | P039=22.3 | P008=28.2
SR000017,2025-09-17,good,False,en,P004 | P007 | P038 | P003,Guinness | Stella Artois | House Red Wine | Corona,,P004=4.0 | P007=4.0 | P038=1.2 | P003=5.0,P004=40.6 | P007=50.4 | P038=24.1 | P003=19.2
SR000018,2025-09-18,messy,False,en,P039 | P002 | P003 | P013,House White Wine | Heineken | Corona | Gordon's,,P039=3.4 | P002=11.0 | P003=10.0 | P013=1.9,P039=17.2 | P002=55.6 | P003=57.2 | P013=10.4
SR000019,2025-09-19,good,False,en,P019 | P005 | P007 | P013 | P002,Jameson | Goldstar | Stella Artois | Gordon's | Heineken,,P019=1.2 | P005=14.0 | P007=9.0 | P013=2.8 | P002=16.0,P019=10.6 | P005=27.6 | P007=35.4 | P013=19.6 | P002=38.6
SR000020,2025-09-20,good,False,he,P001 | P039 | P025 | P007 | P033,Carlsberg | House White Wine | Bacardi Carta Blanca | Stella Artois | Aperol,,P001=22.0 | P039=4.6 | P025=4.4 | P007=12.0 | P033=4.5,P001=50.4 | P039=20.1 | P025=12.0 | P007=47.4 | P033=13.7
SR000021,2025-09-21,messy,False,he,P008 | P004 | P013 | P003,Erdinger | Guinness | Gordon's | Corona,,P008=1.0 | P004=4.0 | P013=1.1 | P003=6.0,P008=32.2 | P004=17.6 | P013=14.9 | P003=44.2
SR000022,2025-09-22,good,False,he,P001 | P039 | P013,Carlsberg | House White Wine | Gordon's,,P001=8.0 | P039=1.0 | P013=1.0,P001=36.4 | P039=17.9 | P013=13.9
SR000023,2025-09-23,good,False,en,P001 | P025 | P003,Carlsberg | Bacardi Carta Blanca | Corona,,P001=8.0 | P025=0.9 | P003=3.0,P001=28.4 | P025=20.8 | P003=36.2
SR000024,2025-09-24,good,False,he,P040 | P003 | P007,Rose Wine | Corona | Stella Artois,,P040=1.0 | P003=7.0 | P007=7.0,P040=15.6 | P003=53.2 | P007=51.4
SR000025,2025-09-25,good,False,he,P040 | P002 | K004,Rose Wine | Heineken | Malka 30L,,P040=1.4 | P002=16.0 | K004=0.9,P040=14.2 | P002=49.6 | K004=4.5
SR000026,2025-09-26,messy,False,he,P003 | P005 | P031 | P033,Corona | Goldstar | Patron Silver | Aperol,,P003=13.0 | P005=13.0 | P031=1.5 | P033=2.5,P003=27.2 | P005=29.6 | P031=10.4 | P033=13.5
SR000027,2025-09-27,messy,False,he,P040 | P031 | P003 | P038,Rose Wine | Patron Silver | Corona | House Red Wine,,P040=1.4 | P031=2.4 | P003=13.0 | P038=3.9,P040=11.6 | P031=8.0 | P003=62.2 | P038=20.3
SR000028,2025-09-28,messy,False,en,P041 | P038 | P001 | P013 | P007,Prosecco | House Red Wine | Carlsberg | Gordon's | Stella Artois,,P041=3.0 | P038=1.2 | P001=7.0 | P013=1.2 | P007=4.0,P041=16.1 | P038=19.1 | P001=56.4 | P013=14.8 | P007=43.4
SR000029,2025-09-29,good,False,he,P001 | P033 | P041 | P025 | P005,Carlsberg | Aperol | Prosecco | Bacardi Carta Blanca | Goldstar,,P001=5.0 | P033=1.5 | P041=2.1 | P025=1.0 | P005=4.0,P001=51.4 | P033=6.9 | P041=14.0 | P025=8.0 | P005=54.6
SR000030,2025-09-30,messy,False,he,P033 | P039 | P002 | P007,Aperol | House White Wine | Heineken | Stella Artois,,P033=1.3 | P039=1.2 | P002=3.0 | P007=6.0,P033=17.7 | P039=24.9 | P002=38.6 | P007=32.4
SR000031,2025-10-01,good,False,en,P003 | P038 | P007 | P005 | P001,Corona | House Red Wine | Stella Artois | Goldstar | Carlsberg,,P003=6.0 | P038=1.0 | P007=3.0 | P005=6.0 | P001=4.0,P003=43.2 | P038=15.4 | P007=29.4 | P005=44.6 | P001=67.4
SR000032,2025-10-02,messy,False,en,P007 | P025 | P002 | P004 | P003,Stella Artois | Bacardi Carta Blanca | Heineken | Guinness | Corona,,P007=6.0 | P025=2.3 | P002=8.0 | P004=4.0 | P003=10.0,P007=23.4 | P025=3.3 | P002=45.6 | P004=30.6 | P003=33.2
SR000033,2025-10-03,good,False,he,P025 | P011 | P001 | P003 | P002,Bacardi Carta Blanca | Hendrick's | Carlsberg | Corona | Heineken,,P025=4.0 | P011=1.0 | P001=15.0 | P003=15.0 | P002=17.0,P025=11.3 | P011=13.1 | P001=39.4 | P003=18.2 | P002=28.6
SR000034,2025-10-04,good,False,he,P042 | P003 | P039 | K003,Chardonnay | Corona | House White Wine | Carlsberg 30L,,P042=0.8 | P003=14.0 | P039=3.2 | K003=1.0,P042=13.2 | P003=76.2 | P039=13.4 | K003=5.4
SR000035,2025-10-05,messy,False,en,P041 | P005 | P003 | P001,Prosecco | Goldstar | Corona | Carlsberg,,P041=1.8 | P005=4.0 | P003=2.0 | P001=7.0,P041=19.9 | P005=49.6 | P003=74.2 | P001=63.4
