date,product_id,product_name,category,true_closing_stock,stockout
2025-09-01,P001,Carlsberg,beer,165.4,False
2025-09-01,P002,Heineken,beer,132.6,False
2025-09-01,P003,Corona,beer,121.2,False
2025-09-01,P004,Guinness,beer,59.6,False
2025-09-01,P005,Goldstar,beer,130.6,False
2025-09-01,P006,Maccabee,beer,74.0,False
2025-09-01,P007,Stella Artois,beer,88.4,False
2025-09-01,P008,Erdinger,beer,44.2,False
2025-09-01,P009,Bombay Sapphire,gin,5.109,False
2025-09-01,P010,Tanqueray,gin,3.914,False
2025-09-01,P011,Hendrick's,gin,9.514,False
2025-09-01,P012,Beefeater,gin,3.914,False
2025-09-01,P013,Gordon's,gin,24.637,False
2025-09-01,P014,Absolut,vodka,21.023,False
2025-09-01,P015,Finlandia,vodka,3.914,False
2025-09-01,P016,Grey Goose,vodka,5.109,False
2025-09-01,P017,Belvedere,vodka,3.914,False
2025-09-01,P018,Stolichnaya,vodka,3.914,False
2025-09-01,P019,Jameson,whiskey,10.046,False
2025-09-01,P020,Jack Daniel's,whiskey,8.726,False
2025-09-01,P021,Johnnie Walker Black,whiskey,5.28,False
2025-09-01,P022,Chivas Regal,whiskey,3.914,False
2025-09-01,P023,Maker's Mark,whiskey,3.914,False
2025-09-01,P024,Glenfiddich 12,whiskey,3.914,False
2025-09-01,P025,Bacardi Carta Blanca,rum,33.222,False
2025-09-01,P026,Havana Club 3,rum,3.829,False
2025-09-01,P027,Captain Morgan,rum,3.829,False
2025-09-01,P028,Diplomatico Reserva,rum,3.914,False
2025-09-01,P029,Jose Cuervo,tequila,7.09,False
2025-09-01,P030,Olmeca Blanco,tequila,3.829,False
2025-09-01,P031,Patron Silver,tequila,18.917,False
2025-09-01,P032,Don Julio Blanco,tequila,3.914,False
2025-09-01,P033,Aperol,aperitif,32.657,False
2025-09-01,P034,Campari,aperitif,9.343,False
2025-09-01,P035,Cointreau,liqueur,9.189,False
2025-09-01,P036,Kahlua,liqueur,7.606,False
2025-09-01,P037,Martini Rosso,vermouth,6.96,False
2025-09-01,P038,House Red Wine,wine,31.622,False
2025-09-01,P039,House White Wine,wine,36.6,False
2025-09-01,P040,Rose Wine,wine,15.0,False
2025-09-01,P041,Prosecco,wine,52.336,False
2025-09-01,P042,Chardonnay,wine,9.04,False
2025-09-01,P043,Coca-Cola,soft_drink,219.64,False
2025-09-01,P044,Coca-Cola Zero,soft_drink,134.6,False
2025-09-01,P045,Sprite,soft_drink,119.2,False
2025-09-01,P046,Tonic Water,soft_drink,137.72,False
2025-09-01,P047,Soda Water,soft_drink,129.12,False
2025-09-01,P048,Red Bull,soft_drink,102.8,False
2025-09-01,P049,Ginger Beer,soft_drink,45.2,False
2025-09-01,P050,Orange Juice,juice,4.0,False
2025-09-01,P051,Cranberry Juice,juice,4.0,False
2025-09-01,P052,Lime Juice,juice,13.383,False
2025-09-01,P053,Lemon Juice,juice,3.95,False
2025-09-01,P054,Sugar Syrup,cocktail_ingredient,6.007,False
2025-09-01,P055,Fresh Mint,cocktail_ingredient,3.91,False
2025-09-01,P056,Coffee Beans,cocktail_ingredient,3.928,False
2025-09-01,K001,Carlsberg 50L,draught_beer,5.349,False
2025-09-01,K002,Tuborg 50L,draught_beer,3.991,False
2025-09-01,K003,Carlsberg 30L,draught_beer,7.69,False
2025-09-01,K004,Malka 30L,draught_beer,6.224,False
2025-09-01,K005,Weihenstephan 30L,draught_beer,4.35,False
2025-09-02,P001,Carlsberg,beer,163.4,False
2025-09-02,P002,Heineken,beer,125.6,False
2025-09-02,P003,Corona,beer,114.2,False
2025-09-02,P004,Guinness,beer,56.6,False
2025-09-02,P005,Goldstar,beer,127.6,False
2025-09-02,P006,Maccabee,beer,72.0,False
2025-09-02,P007,Stella Artois,beer,85.4,False
2025-09-02,P008,Erdinger,beer,43.2,False
2025-09-02,P009,Bombay Sapphire,gin,4.937,False
2025-09-02,P010,Tanqueray,gin,3.743,False
2025-09-02,P011,Hendrick's,gin,9.043,False
2025-09-02,P012,Beefeater,gin,3.829,False
2025-09-02,P013,Gordon's,gin,23.278,False
2025-09-02,P014,Absolut,vodka,19.994,False
2025-09-02,P015,Finlandia,vodka,3.743,False
2025-09-02,P016,Grey Goose,vodka,4.851,False
2025-09-02,P017,Belvedere,vodka,3.829,False
2025-09-02,P018,Stolichnaya,vodka,3.829,False
2025-09-02,P019,Jameson,whiskey,9.703,False
2025-09-02,P020,Jack Daniel's,whiskey,8.211,False
2025-09-02,P021,Johnnie Walker Black,whiskey,5.023,False
2025-09-02,P022,Chivas Regal,whiskey,3.657,False
2025-09-02,P023,Maker's Mark,whiskey,3.829,False
2025-09-02,P024,Glenfiddich 12,whiskey,3.829,False
2025-09-02,P025,Bacardi Carta Blanca,rum,32.02,False
2025-09-02,P026,Havana Club 3,rum,3.657,False
2025-09-02,P027,Captain Morgan,rum,3.743,False
2025-09-02,P028,Diplomatico Reserva,rum,3.914,False
2025-09-02,P029,Jose Cuervo,tequila,6.672,False
2025-09-02,P030,Olmeca Blanco,tequila,3.829,False
2025-09-02,P031,Patron Silver,tequila,17.674,False
2025-09-02,P032,Don Julio Blanco,tequila,3.743,False
2025-09-02,P033,Aperol,aperitif,31.2,False
2025-09-02,P034,Campari,aperitif,8.871,False
2025-09-02,P035,Cointreau,liqueur,8.589,False
2025-09-02,P036,Kahlua,liqueur,7.263,False
2025-09-02,P037,Martini Rosso,vermouth,6.489,False
2025-09-02,P038,House Red Wine,wine,30.158,False
2025-09-02,P039,House White Wine,wine,34.648,False
2025-09-02,P040,Rose Wine,wine,14.0,False
2025-09-02,P041,Prosecco,wine,49.936,False
2025-09-02,P042,Chardonnay,wine,8.84,False
2025-09-02,P043,Coca-Cola,soft_drink,207.24,False
2025-09-02,P044,Coca-Cola Zero,soft_drink,127.6,False
2025-09-02,P045,Sprite,soft_drink,112.2,False
2025-09-02,P046,Tonic Water,soft_drink,131.12,False
2025-09-02,P047,Soda Water,soft_drink,123.14,False
2025-09-02,P048,Red Bull,soft_drink,96.8,False
2025-09-02,P049,Ginger Beer,soft_drink,43.2,False
2025-09-02,P050,Orange Juice,juice,4.0,False
2025-09-02,P051,Cranberry Juice,juice,4.0,False
2025-09-02,P052,Lime Juice,juice,12.708,False
2025-09-02,P053,Lemon Juice,juice,3.85,False
2025-09-02,P054,Sugar Syrup,cocktail_ingredient,5.782,False
2025-09-02,P055,Fresh Mint,cocktail_ingredient,3.829,False
2025-09-02,P056,Coffee Beans,cocktail_ingredient,3.847,False
2025-09-02,K001,Carlsberg 50L,draught_beer,4.858,False
2025-09-02,K002,Tuborg 50L,draught_beer,3.862,False
2025-09-02,K003,Carlsberg 30L,draught_beer,6.979,False
2025-09-02,K004,Malka 30L,draught_beer,5.808,False
2025-09-02,K005,Weihenstephan 30L,draught_beer,4.136,False
2025-09-03,P001,Carlsberg,beer,154.4,False
2025-09-03,P002,Heineken,beer,115.6,False
2025-09-03,P003,Corona,beer,108.2,False
2025-09-03,P004,Guinness,beer,52.6,False
2025-09-03,P005,Goldstar,beer,121.6,False
2025-09-03,P006,Maccabee,beer,67.0,False
2025-09-03,P007,Stella Artois,beer,80.4,False
2025-09-03,P008,Erdinger,beer,41.2,False
2025-09-03,P009,Bombay Sapphire,gin,4.594,False
2025-09-03,P010,Tanqueray,gin,3.571,False
2025-09-03,P011,Hendrick's,gin,8.657,False
2025-09-03,P012,Beefeater,gin,3.657,False
2025-09-03,P013,Gordon's,gin,21.535,False
2025-09-03,P014,Absolut,vodka,18.78,False
2025-09-03,P015,Finlandia,vodka,3.571,False
2025-09-03,P016,Grey Goose,vodka,4.594,False
2025-09-03,P017,Belvedere,vodka,3.743,False
2025-09-03,P018,Stolichnaya,vodka,3.657,False
2025-09-03,P019,Jameson,whiskey,9.446,False
2025-09-03,P020,Jack Daniel's,whiskey,7.611,False
2025-09-03,P021,Johnnie Walker Black,whiskey,4.766,False
2025-09-03,P022,Chivas Regal,whiskey,3.4,False
2025-09-03,P023,Maker's Mark,whiskey,3.657,False
2025-09-03,P024,Glenfiddich 12,whiskey,3.743,False
2025-09-03,P025,Bacardi Carta Blanca,rum,30.137,False
2025-09-03,P026,Havana Club 3,rum,3.486,False
2025-09-03,P027,Captain Morgan,rum,3.486,False
2025-09-03,P028,Diplomatico Reserva,rum,3.829,False
2025-09-03,P029,Jose Cuervo,tequila,6.201,False
2025-09-03,P030,Olmeca Blanco,tequila,3.743,False
2025-09-03,P031,Patron Silver,tequila,16.631,False
2025-09-03,P032,Don Julio Blanco,tequila,3.571,False
2025-09-03,P033,Aperol,aperitif,29.4,False
2025-09-03,P034,Campari,aperitif,8.486,False
2025-09-03,P035,Cointreau,liqueur,8.06,False
2025-09-03,P036,Kahlua,liqueur,6.806,False
2025-09-03,P037,Martini Rosso,vermouth,6.36,False
2025-09-03,P038,House Red Wine,wine,28.45,False
2025-09-03,P039,House White Wine,wine,32.452,False
2025-09-03,P040,Rose Wine,wine,13.2,False
2025-09-03,P041,Prosecco,wine,47.176,False
2025-09-03,P042,Chardonnay,wine,8.04,False
2025-09-03,P043,Coca-Cola,soft_drink,193.64,False
2025-09-03,P044,Coca-Cola Zero,soft_drink,119.6,False
2025-09-03,P045,Sprite,soft_drink,104.2,False
2025-09-03,P046,Tonic Water,soft_drink,122.82,False
2025-09-03,P047,Soda Water,soft_drink,115.26,False
2025-09-03,P048,Red Bull,soft_drink,90.8,False
2025-09-03,P049,Ginger Beer,soft_drink,40.2,False
2025-09-03,P050,Orange Juice,juice,4.0,False
2025-09-03,P051,Cranberry Juice,juice,4.0,False
2025-09-03,P052,Lime Juice,juice,12.003,False
2025-09-03,P053,Lemon Juice,juice,3.7,False
2025-09-03,P054,Sugar Syrup,cocktail_ingredient,5.457,False
2025-09-03,P055,Fresh Mint,cocktail_ingredient,3.694,False
2025-09-03,P056,Coffee Beans,cocktail_ingredient,3.757,False
2025-09-03,K001,Carlsberg 50L,draught_beer,5.343,False
2025-09-03,K002,Tuborg 50L,draught_beer,3.508,False
2025-09-03,K003,Carlsberg 30L,draught_beer,6.106,False
2025-09-03,K004,Malka 30L,draught_beer,5.258,False
2025-09-03,K005,Weihenstephan 30L,draught_beer,4.76,False
2025-09-04,P001,Carlsberg,beer,146.4,False
2025-09-04,P002,Heineken,beer,106.6,False
2025-09-04,P003,Corona,beer,101.2,False
2025-09-04,P004,Guinness,beer,47.6,False
2025-09-04,P005,Goldstar,beer,113.6,False
2025-09-04,P006,Maccabee,beer,63.0,False
2025-09-04,P007,Stella Artois,beer,75.4,False
2025-09-04,P008,Erdinger,beer,37.2,False
2025-09-04,P009,Bombay Sapphire,gin,4.251,False
2025-09-04,P010,Tanqueray,gin,3.4,False
2025-09-04,P011,Hendrick's,gin,7.971,False
2025-09-04,P012,Beefeater,gin,3.486,False
2025-09-04,P013,Gordon's,gin,20.158,False
2025-09-04,P014,Absolut,vodka,17.537,False
2025-09-04,P015,Finlandia,vodka,3.314,False
2025-09-04,P016,Grey Goose,vodka,4.252,False
2025-09-04,P017,Belvedere,vodka,3.571,False
2025-09-04,P018,Stolichnaya,vodka,3.4,False
2025-09-04,P019,Jameson,whiskey,8.76,False
2025-09-04,P020,Jack Daniel's,whiskey,7.011,False
2025-09-04,P021,Johnnie Walker Black,whiskey,4.423,False
2025-09-04,P022,Chivas Regal,whiskey,3.229,False
2025-09-04,P023,Maker's Mark,whiskey,3.486,False
2025-09-04,P024,Glenfiddich 12,whiskey,3.657,False
2025-09-04,P025,Bacardi Carta Blanca,rum,27.906,False
2025-09-04,P026,Havana Club 3,rum,3.229,False
2025-09-04,P027,Captain Morgan,rum,3.229,False
2025-09-04,P028,Diplomatico Reserva,rum,3.743,False
2025-09-04,P029,Jose Cuervo,tequila,5.731,False
2025-09-04,P030,Olmeca Blanco,tequila,3.571,False
2025-09-04,P031,Patron Silver,tequila,15.231,False
2025-09-04,P032,Don Julio Blanco,tequila,3.4,False
2025-09-04,P033,Aperol,aperitif,27.6,False
2025-09-04,P034,Campari,aperitif,7.8,False
2025-09-04,P035,Cointreau,liqueur,7.389,False
2025-09-04,P036,Kahlua,liqueur,6.291,False
2025-09-04,P037,Martini Rosso,vermouth,5.846,False
2025-09-04,P038,House Red Wine,wine,26.498,False
2025-09-04,P039,House White Wine,wine,30.012,False
2025-09-04,P040,Rose Wine,wine,12.4,False
2025-09-04,P041,Prosecco,wine,44.096,False
2025-09-04,P042,Chardonnay,wine,7.64,False
2025-09-04,P043,Coca-Cola,soft_drink,179.04,False
2025-09-04,P044,Coca-Cola Zero,soft_drink,115.6,False
2025-09-04,P045,Sprite,soft_drink,95.2,False
2025-09-04,P046,Tonic Water,soft_drink,115.42,False
2025-09-04,P047,Soda Water,soft_drink,107.84,False
2025-09-04,P048,Red Bull,soft_drink,85.8,False
2025-09-04,P049,Ginger Beer,soft_drink,36.2,False
2025-09-04,P050,Orange Juice,juice,4.0,False
2025-09-04,P051,Cranberry Juice,juice,4.0,False
2025-09-04,P052,Lime Juice,juice,11.048,False
