broadcast_date,day,broadcast_time,channel,sport_type,event_name,competition_or_context,is_live,source_url
2026-06-14,Sunday,01:40,Sport 2,Football,German League analysis,Pre-game / analysis,no,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,03:15,Sport 5,UFC,Press conference,UFC media event,yes,https://www.sport5.co.il/html/pages/broadcastsheet.html
2026-06-14,Sunday,03:20,Sport 1,Football,World Cup 2026 studio,World Cup preview studio,no,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,04:00,Sport 3,Volleyball,Slovakia vs Israel women,Women volleyball,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,05:00,Sport 5 Live,Baseball,San Francisco Giants vs Chicago Cubs,MLB,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,18:30,Sport 5+,Handball,Hapoel Rishon LeZion vs Maccabi Rishon LeZion,Israeli handball,yes,https://www.sport5.co.il/html/pages/broadcastsheet.html
2026-06-14,Sunday,19:00,Sport 1,Football,Jena vs Bayern Munich,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,21:00,Sport 3,Basketball,Venezia vs Hapoel Jerusalem,Basketball,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,21:45,Sport 2,Football,Bayern Munich vs RB Leipzig,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-14,Sunday,22:15,Sport 4,Football,Sunderland vs Liverpool,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,02:30,Sport 5,Basketball,Philadelphia 76ers vs New York Knicks,NBA,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,17:40,Sport 5+,Football,Maccabi Holon vs M.K. Ramat Hasharon,Israeli women football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,19:45,ONE,Football,Wolfsburg vs Juventus women,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,21:05,Sport 5,Basketball,Maccabi Tel Aviv vs Bayern Munich,EuroLeague / Basketball,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,22:00,Sport 1,Football,Brentford vs Arsenal,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-15,Monday,22:00,Sport 4,Football,Atletico Madrid vs Barcelona,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-16,Tuesday,14:00,Sport 2,Football,Hapoel Tel Aviv vs Hapoel Jerusalem,Israeli football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-16,Tuesday,15:00,Sport 5 Live,Football,Maccabi Petah Tikva vs Ironi Modiin,Israeli football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-16,Tuesday,20:00,Sport 5,Basketball,Zalgiris Kaunas vs Hapoel Tel Aviv,EuroCup / Basketball,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-16,Tuesday,21:30,Sport 1,Football,Borussia Dortmund vs Mainz,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-16,Tuesday,21:45,ONE2,Football,Pisa vs Milan,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-17,Wednesday,15:00,Sport 3,Football,Hapoel Petah Tikva vs Hapoel Haifa,Israeli football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-17,Wednesday,18:30,5 Stars,Football,Maccabi Bnei Reineh vs Maccabi Netanya,Israeli football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-17,Wednesday,19:30,Sport 4,Football,M.S. Ashdod vs Hapoel Be’er Sheva,Israeli football,yes,https://www.livegames.co.il/broadcastspage.aspx
2026-06-17,Wednesday,19:30,Sport 3,Football,Stuttgart vs FC Koln,Football,yes,https://www.livegames.co.il/broadcastspage.aspx
