cocktail_id,ingredient_product_id,quantity_ml,quantity_per_cocktail
C001,P041,90,0.12
C001,P033,60,0.085714
C001,P047,30,0.06
C002,P031,50,0.071429
C002,P035,20,0.028571
C002,P052,30,0.03
C003,P034,30,0.042857
C003,P011,30,0.042857
C003,P037,30,0.042857
C004,P025,50,0.071429
C004,P052,25,0.025
C004,P054,15,0.015
C004,P055,9,0.225
C004,P047,60,0.12
C005,P014,40,0.057143
C005,P036,20,0.028571
C005,P056,9,0.009
C005,P054,10,0.01
C006,P013,50,0.071429
C006,P046,150,0.3
C007,P014,15,0.021429
C007,P025,15,0.021429
C007,P013,15,0.021429
C007,P029,15,0.021429
C007,P035,15,0.021429
C007,P053,25,0.025
C007,P043,50,0.1
