count_id,date,product_id,product_name,reported_stock,counted_by,station
CNT000001,2025-09-03,P001,Carlsberg,154.4,Maya,both
CNT000002,2025-09-03,P002,Heineken,115.6,Maya,both
CNT000003,2025-09-03,P003,Corona,108.2,Maya,both
CNT000004,2025-09-03,P004,Guinness,52.6,Maya,both
CNT000005,2025-09-03,P005,Goldstar,121.6,Maya,both
CNT000006,2025-09-03,P006,Maccabee,67.0,Maya,both
CNT000007,2025-09-03,P007,Stella Artois,80.26,Maya,both
CNT000008,2025-09-03,P008,Erdinger,41.2,Maya,both
CNT000009,2025-09-03,P009,Bombay Sapphire,4.59,Maya,both
CNT000010,2025-09-03,P010,Tanqueray,3.57,Maya,both
CNT000011,2025-09-03,P011,Hendrick's,8.66,Maya,both
CNT000012,2025-09-03,P012,Beefeater,3.66,Maya,both
CNT000013,2025-09-03,P013,Gordon's,21.54,Maya,both
CNT000014,2025-09-03,P014,Absolut,18.78,Maya,both
CNT000015,2025-09-03,P015,Finlandia,3.57,Maya,both
CNT000016,2025-09-03,P016,Grey Goose,4.54,Maya,both
CNT000017,2025-09-03,P017,Belvedere,3.74,Maya,both
CNT000018,2025-09-03,P018,Stolichnaya,3.66,Maya,both
CNT000019,2025-09-03,P019,Jameson,9.45,Maya,both
CNT000020,2025-09-03,P020,Jack Daniel's,7.61,Maya,both
CNT000021,2025-09-03,P021,Johnnie Walker Black,4.77,Maya,both
CNT000022,2025-09-03,P022,Chivas Regal,3.4,Maya,both
CNT000023,2025-09-03,P023,Maker's Mark,3.66,Maya,both
CNT000024,2025-09-03,P024,Glenfiddich 12,3.74,Maya,inside
CNT000025,2025-09-03,P025,Bacardi Carta Blanca,30.14,Maya,both
CNT000026,2025-09-03,P026,Havana Club 3,3.49,Maya,both
CNT000027,2025-09-03,P027,Captain Morgan,3.49,Maya,both
CNT000028,2025-09-03,P028,Diplomatico Reserva,3.83,Maya,both
CNT000029,2025-09-03,P029,Jose Cuervo,6.2,Maya,both
CNT000030,2025-09-03,P030,Olmeca Blanco,3.74,Maya,both
CNT000031,2025-09-03,P031,Patron Silver,16.63,Maya,inside
CNT000032,2025-09-03,P032,Don Julio Blanco,3.57,Maya,both
CNT000033,2025-09-03,P033,Aperol,29.4,Maya,outside
CNT000034,2025-09-03,P034,Campari,8.43,Maya,both
CNT000035,2025-09-03,P035,Cointreau,8.19,Maya,both
CNT000036,2025-09-03,P036,Kahlua,6.81,Maya,both
CNT000037,2025-09-03,P037,Martini Rosso,6.36,Maya,inside
CNT000038,2025-09-03,P038,House Red Wine,28.45,Maya,both
CNT000039,2025-09-03,P039,House White Wine,32.45,Maya,both
CNT000040,2025-09-03,P040,Rose Wine,13.2,Maya,both
CNT000041,2025-09-03,P041,Prosecco,47.18,Maya,both
CNT000042,2025-09-03,P042,Chardonnay,8.04,Maya,both
CNT000043,2025-09-03,P043,Coca-Cola,193.64,Maya,both
CNT000044,2025-09-03,P044,Coca-Cola Zero,119.6,Maya,both
CNT000045,2025-09-03,P045,Sprite,104.2,Maya,both
CNT000046,2025-09-03,P046,Tonic Water,122.6,Maya,both
CNT000047,2025-09-03,P047,Soda Water,115.26,Maya,both
CNT000048,2025-09-03,P048,Red Bull,90.8,Maya,both
CNT000049,2025-09-03,P049,Ginger Beer,40.2,Maya,both
CNT000050,2025-09-03,P050,Orange Juice,4.0,Maya,both
CNT000051,2025-09-03,P051,Cranberry Juice,4.0,Maya,both
CNT000052,2025-09-03,P052,Lime Juice,12.0,Maya,both
CNT000053,2025-09-03,P053,Lemon Juice,3.7,Maya,both
CNT000054,2025-09-03,P054,Sugar Syrup,5.46,Maya,both
CNT000055,2025-09-03,P055,Fresh Mint,3.69,Maya,both
CNT000056,2025-09-03,P056,Coffee Beans,3.86,Maya,inside
CNT000057,2025-09-03,K001,Carlsberg 50L,5.34,Maya,inside
CNT000058,2025-09-03,K002,Tuborg 50L,3.51,Maya,inside
CNT000059,2025-09-03,K003,Carlsberg 30L,7.11,Maya,outside
CNT000060,2025-09-03,K004,Malka 30L,5.26,Maya,outside
CNT000061,2025-09-03,K005,Weihenstephan 30L,4.76,Maya,outside
CNT000062,2025-09-07,P001,Carlsberg,117.4,Yael,both
CNT000063,2025-09-07,P002,Heineken,74.6,Yael,both
CNT000064,2025-09-07,P003,Corona,75.2,Yael,both
CNT000065,2025-09-07,P004,Guinness,32.6,Yael,both
CNT000066,2025-09-07,P005,Goldstar,81.6,Yael,both
CNT000067,2025-09-07,P006,Maccabee,43.0,Yael,both
CNT000068,2025-09-07,P007,Stella Artois,54.4,Yael,both
CNT000069,2025-09-07,P008,Erdinger,28.2,Yael,both
CNT000070,2025-09-07,P009,Bombay Sapphire,3.05,Yael,both
CNT000071,2025-09-07,P010,Tanqueray,14.54,Yael,both
CNT000072,2025-09-07,P011,Hendrick's,6.04,Yael,both
CNT000073,2025-09-07,P012,Beefeater,2.71,Yael,both
CNT000074,2025-09-07,P013,Gordon's,14.83,Yael,both
CNT000075,2025-09-07,P014,Absolut,12.7,Yael,both
CNT000076,2025-09-07,P015,Finlandia,2.63,Yael,both
CNT000077,2025-09-07,P016,Grey Goose,3.22,Yael,both
CNT000078,2025-09-07,P017,Belvedere,2.97,Yael,both
CNT000079,2025-09-07,P018,Stolichnaya,2.8,Yael,both
