order_id,order_date,product_id,product_name,quantity,expected_delivery_date,actual_delivery_date,status,supplier_id,supplier
O000001,2025-09-02,K001,Carlsberg 50L,1,2025-09-03,2025-09-03,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000002,2025-09-02,K002,Tuborg 50L,1,2025-09-03,2025-09-05,delayed,SUP02,IBBL (Israel Beer Breweries Ltd)
O000003,2025-09-02,K005,Weihenstephan 30L,1,2025-09-03,2025-09-03,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000004,2025-09-04,P010,Tanqueray,12,2025-09-05,2025-09-05,delivered,SUP01,Hakerem Distillers
O000005,2025-09-04,P022,Chivas Regal,12,2025-09-05,2025-09-05,delivered,SUP01,Hakerem Distillers
O000006,2025-09-04,P026,Havana Club 3,12,2025-09-05,2025-09-05,delivered,SUP01,Hakerem Distillers
O000007,2025-09-04,P027,Captain Morgan,12,2025-09-05,2025-09-05,delivered,SUP01,Hakerem Distillers
O000008,2025-09-05,K001,Carlsberg 50L,1,2025-09-06,2025-09-06,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000009,2025-09-05,K002,Tuborg 50L,1,2025-09-06,2025-09-06,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000010,2025-09-05,K003,Carlsberg 30L,2,2025-09-06,2025-09-06,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000011,2025-09-05,K004,Malka 30L,2,2025-09-06,2025-09-06,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000012,2025-09-05,K005,Weihenstephan 30L,1,2025-09-06,2025-09-06,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000013,2025-09-07,P054,Sugar Syrup,6,2025-09-08,2025-09-08,delivered,SUP03,CBC (Central Bottling Company)
O000014,2025-09-07,P055,Fresh Mint,6,2025-09-08,2025-09-08,delivered,SUP03,CBC (Central Bottling Company)
O000015,2025-09-08,P009,Bombay Sapphire,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000016,2025-09-08,P011,Hendrick's,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000017,2025-09-08,P012,Beefeater,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000018,2025-09-08,P015,Finlandia,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000019,2025-09-08,P016,Grey Goose,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000020,2025-09-08,P017,Belvedere,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000021,2025-09-08,P018,Stolichnaya,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000022,2025-09-08,P019,Jameson,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000023,2025-09-08,P020,Jack Daniel's,12,2025-09-09,2025-09-11,delayed,SUP01,Hakerem Distillers
O000024,2025-09-08,P021,Johnnie Walker Black,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000025,2025-09-08,P023,Maker's Mark,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000026,2025-09-08,P024,Glenfiddich 12,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000027,2025-09-08,P029,Jose Cuervo,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000028,2025-09-08,P030,Olmeca Blanco,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000029,2025-09-08,P032,Don Julio Blanco,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000030,2025-09-08,P034,Campari,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000031,2025-09-08,P039,House White Wine,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000032,2025-09-08,P040,Rose Wine,12,2025-09-09,2025-09-11,delayed,SUP01,Hakerem Distillers
O000033,2025-09-08,P042,Chardonnay,12,2025-09-09,2025-09-09,delivered,SUP01,Hakerem Distillers
O000034,2025-09-09,P004,Guinness,24,2025-09-10,2025-09-12,delayed,SUP02,IBBL (Israel Beer Breweries Ltd)
O000035,2025-09-09,K001,Carlsberg 50L,2,2025-09-10,2025-09-10,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000036,2025-09-09,K002,Tuborg 50L,2,2025-09-10,2025-09-10,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000037,2025-09-09,K003,Carlsberg 30L,3,2025-09-10,2025-09-10,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000038,2025-09-09,K004,Malka 30L,3,2025-09-10,2025-09-10,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000039,2025-09-09,K005,Weihenstephan 30L,2,2025-09-10,2025-09-10,delivered,SUP02,IBBL (Israel Beer Breweries Ltd)
O000040,2025-09-10,P045,Sprite,24,2025-09-11,2025-09-11,delivered,SUP03,CBC (Central Bottling Company)
