product_id,name,name_he,category,unit,volume_ml,unit_cost,unit_price,station,supplier_id,case_size,is_draught,safety_stock
P001,Carlsberg,קרלסברג,beer,bottle,330,5.0,24,both,SUP02,24,0,4
P002,Heineken,הייניקן,beer,bottle,330,5.5,25,both,SUP02,24,0,4
P003,Corona,קורונה,beer,bottle,330,6.0,27,both,SUP02,24,0,4
P004,Guinness,גינס,beer,bottle,330,7.0,29,both,SUP02,24,0,4
P005,Goldstar,גולדסטאר,beer,bottle,330,4.5,23,both,SUP02,24,0,4
P006,Maccabee,מכבי,beer,bottle,330,4.5,23,both,SUP02,24,0,4
P007,Stella Artois,סטלה ארטואה,beer,bottle,330,5.5,26,both,SUP02,24,0,4
P008,Erdinger,ארדינגר,beer,bottle,330,7.0,29,both,SUP02,24,0,4
P009,Bombay Sapphire,בומביי ספיר,gin,bottle,700,75.0,240,both,SUP01,12,0,2
P010,Tanqueray,טנקרי,gin,bottle,700,82.0,260,both,SUP01,12,0,2
P011,Hendrick's,הנדריקס,gin,bottle,700,125.0,350,both,SUP01,12,0,2
P012,Beefeater,ביפיטר,gin,bottle,700,68.0,230,both,SUP01,12,0,2
P013,Gordon's,גורדונס,gin,bottle,700,55.0,200,both,SUP01,12,0,2
P014,Absolut,אבסולוט,vodka,bottle,700,65.0,220,both,SUP01,12,0,2
P015,Finlandia,פינלנדיה,vodka,bottle,700,60.0,210,both,SUP01,12,0,2
P016,Grey Goose,גריי גוס,vodka,bottle,700,130.0,390,both,SUP01,12,0,2
P017,Belvedere,בלוודר,vodka,bottle,700,125.0,380,both,SUP01,12,0,2
P018,Stolichnaya,סטולי,vodka,bottle,700,60.0,210,both,SUP01,12,0,2
P019,Jameson,ג'יימסון,whiskey,bottle,700,80.0,250,both,SUP01,12,0,3
P020,Jack Daniel's,ג'ק דניאלס,whiskey,bottle,700,85.0,270,both,SUP01,12,0,2
P021,Johnnie Walker Black,ג'וני ווקר בלאק,whiskey,bottle,700,105.0,320,both,SUP01,12,0,2
P022,Chivas Regal,שיבס ריגל,whiskey,bottle,700,100.0,310,both,SUP01,12,0,2
P023,Maker's Mark,מייקרס מארק,whiskey,bottle,700,110.0,330,both,SUP01,12,0,2
P024,Glenfiddich 12,גלנפידיך 12,whiskey,bottle,700,145.0,420,inside,SUP01,12,0,2
P025,Bacardi Carta Blanca,בקרדי,rum,bottle,700,60.0,210,both,SUP01,12,0,2
P026,Havana Club 3,הוואנה קלאב,rum,bottle,700,70.0,230,both,SUP01,12,0,2
P027,Captain Morgan,קפטן מורגן,rum,bottle,700,65.0,220,both,SUP01,12,0,2
P028,Diplomatico Reserva,דיפלומטיקו,rum,bottle,700,145.0,390,both,SUP01,12,0,2
P029,Jose Cuervo,חוסה קוארבו,tequila,bottle,700,72.0,240,both,SUP01,12,0,2
P030,Olmeca Blanco,אולמקה,tequila,bottle,700,70.0,235,both,SUP01,12,0,2
