reservation_id,date,time,party_size,reservation_type,status
R000001,2025-09-01,19:00,6,regular,confirmed
R000002,2025-09-01,19:00,6,regular,confirmed
R000003,2025-09-01,18:30,4,regular,confirmed
R000004,2025-09-01,21:00,4,regular,confirmed
R000005,2025-09-01,20:00,2,regular,confirmed
R000006,2025-09-02,22:00,3,regular,confirmed
R000007,2025-09-02,21:00,5,regular,confirmed
R000008,2025-09-02,21:00,9,birthday,confirmed
R000009,2025-09-02,21:00,4,regular,confirmed
R000010,2025-09-02,20:00,2,regular,cancelled
R000011,2025-09-02,19:00,2,regular,confirmed
R000012,2025-09-02,21:00,2,regular,confirmed
R000013,2025-09-03,19:00,4,regular,confirmed
R000014,2025-09-03,21:00,4,regular,confirmed
R000015,2025-09-03,21:00,5,regular,confirmed
R000016,2025-09-03,22:00,5,regular,confirmed
R000017,2025-09-03,22:00,3,regular,confirmed
R000018,2025-09-03,21:00,5,regular,confirmed
R000019,2025-09-03,19:00,5,regular,confirmed
R000020,2025-09-04,20:00,4,regular,confirmed
R000021,2025-09-04,22:00,4,regular,confirmed
R000022,2025-09-04,18:30,14,large_group,confirmed
R000023,2025-09-04,22:00,4,regular,confirmed
R000024,2025-09-04,22:00,3,regular,confirmed
R000025,2025-09-04,19:00,4,regular,confirmed
R000026,2025-09-05,19:00,2,regular,confirmed
R000027,2025-09-05,21:00,2,regular,confirmed
R000028,2025-09-05,22:00,5,regular,confirmed
R000029,2025-09-05,18:30,4,regular,confirmed
R000030,2025-09-05,19:00,4,regular,confirmed
R000031,2025-09-05,20:30,4,regular,confirmed
R000032,2025-09-05,18:30,4,regular,confirmed
R000033,2025-09-06,22:00,4,regular,confirmed
R000034,2025-09-06,20:30,4,regular,confirmed
R000035,2025-09-06,22:00,6,regular,confirmed
R000036,2025-09-06,22:00,4,regular,confirmed
R000037,2025-09-06,20:00,2,regular,confirmed
R000038,2025-09-06,22:00,3,regular,confirmed
R000039,2025-09-06,20:30,12,birthday,confirmed
R000040,2025-09-06,21:00,2,regular,confirmed
R000041,2025-09-06,20:30,3,regular,confirmed
R000042,2025-09-06,20:00,6,regular,confirmed
R000043,2025-09-06,22:00,2,regular,cancelled
R000044,2025-09-06,22:00,2,regular,confirmed
R000045,2025-09-06,21:00,2,regular,confirmed
R000046,2025-09-07,21:00,2,regular,confirmed
R000047,2025-09-08,20:30,4,regular,confirmed
R000048,2025-09-08,20:00,2,regular,confirmed
R000049,2025-09-08,21:00,8,birthday,confirmed
R000050,2025-09-08,21:00,4,regular,confirmed
R000051,2025-09-08,22:00,2,regular,confirmed
R000052,2025-09-08,22:00,3,regular,confirmed
R000053,2025-09-09,21:00,5,regular,confirmed
R000054,2025-09-09,22:00,2,regular,confirmed
R000055,2025-09-09,22:00,4,regular,confirmed
R000056,2025-09-09,19:00,4,regular,confirmed
R000057,2025-09-09,20:30,4,regular,confirmed
R000058,2025-09-10,20:30,4,regular,confirmed
R000059,2025-09-10,22:00,4,regular,confirmed
R000060,2025-09-10,22:00,4,regular,confirmed
R000061,2025-09-10,22:00,2,regular,confirmed
