sale_id,date,item_type,item_id,item_name,category,units_sold,lost_sales_due_to_stockout,revenue
SALE0000001,2025-09-01,cocktail,C001,Aperol Spritz,cocktail,2,0,92
SALE0000002,2025-09-01,cocktail,C002,Margarita,cocktail,5,0,250
SALE0000003,2025-09-01,cocktail,C003,Negroni,cocktail,7,0,364
SALE0000004,2025-09-01,cocktail,C004,Mojito,cocktail,10,0,480
SALE0000005,2025-09-01,cocktail,C005,Espresso Martini,cocktail,8,0,432
SALE0000006,2025-09-01,cocktail,C006,Gin & Tonic,cocktail,5,0,210
SALE0000007,2025-09-01,cocktail,C007,Long Island Iced Tea,cocktail,2,0,116
SALE0000008,2025-09-01,product,P001,Carlsberg,beer,4,0,96.0
SALE0000009,2025-09-01,product,P002,Heineken,beer,6,0,150.0
SALE0000010,2025-09-01,product,P003,Corona,beer,2,0,54.0
SALE0000011,2025-09-01,product,P004,Guinness,beer,2,0,58.0
SALE0000012,2025-09-01,product,P005,Goldstar,beer,8,0,184.0
SALE0000013,2025-09-01,product,P006,Maccabee,beer,3,0,69.0
SALE0000014,2025-09-01,product,P007,Stella Artois,beer,4,0,104.0
SALE0000015,2025-09-01,product,P008,Erdinger,beer,2,0,58.0
SALE0000016,2025-09-01,product,P009,Bombay Sapphire,gin,2,0,70
SALE0000017,2025-09-01,product,P010,Tanqueray,gin,1,0,40
SALE0000018,2025-09-01,product,P011,Hendrick's,gin,1,0,50
SALE0000019,2025-09-01,product,P012,Beefeater,gin,1,0,35
SALE0000020,2025-09-01,product,P013,Gordon's,gin,1,0,30
SALE0000021,2025-09-01,product,P014,Absolut,vodka,3,0,105
SALE0000022,2025-09-01,product,P015,Finlandia,vodka,1,0,30
SALE0000023,2025-09-01,product,P016,Grey Goose,vodka,2,0,120
SALE0000024,2025-09-01,product,P017,Belvedere,vodka,1,0,55
SALE0000025,2025-09-01,product,P018,Stolichnaya,vodka,1,0,30
SALE0000026,2025-09-01,product,P019,Jameson,whiskey,6,0,240
