date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,source
2025-09-01,30.8,22.3,0.0,17.1,Open-Meteo ERA5 archive
2025-09-02,30.7,24.8,0.0,19.5,Open-Meteo ERA5 archive
2025-09-03,30.6,24.8,0.0,18.1,Open-Meteo ERA5 archive
2025-09-04,31.6,24.0,0.0,17.7,Open-Meteo ERA5 archive
2025-09-05,31.2,22.6,0.0,16.7,Open-Meteo ERA5 archive
2025-09-06,30.6,22.9,0.0,18.2,Open-Meteo ERA5 archive
2025-09-07,30.0,23.2,0.9,16.2,Open-Meteo ERA5 archive
2025-09-08,30.3,23.0,0.2,17.2,Open-Meteo ERA5 archive
2025-09-09,30.8,22.7,0.0,17.4,Open-Meteo ERA5 archive
2025-09-10,29.7,21.5,0.0,18.6,Open-Meteo ERA5 archive
2025-09-11,30.5,21.7,0.0,17.6,Open-Meteo ERA5 archive
2025-09-12,30.5,21.4,0.0,16.4,Open-Meteo ERA5 archive
2025-09-13,31.1,21.1,0.0,16.3,Open-Meteo ERA5 archive
2025-09-14,30.9,21.6,0.0,15.6,Open-Meteo ERA5 archive
2025-09-15,30.0,22.9,0.1,16.4,Open-Meteo ERA5 archive
2025-09-16,29.5,22.3,0.0,17.5,Open-Meteo ERA5 archive
2025-09-17,30.1,21.6,0.0,17.5,Open-Meteo ERA5 archive
2025-09-18,30.5,21.3,0.0,15.7,Open-Meteo ERA5 archive
2025-09-19,30.5,24.2,0.0,16.6,Open-Meteo ERA5 archive
2025-09-20,32.0,19.9,0.0,20.1,Open-Meteo ERA5 archive
2025-09-21,33.5,21.0,0.0,22.1,Open-Meteo ERA5 archive
2025-09-22,31.7,23.4,0.0,18.1,Open-Meteo ERA5 archive
2025-09-23,30.8,21.3,0.0,16.0,Open-Meteo ERA5 archive
2025-09-24,29.7,23.6,0.1,18.7,Open-Meteo ERA5 archive
2025-09-25,28.1,21.6,5.5,22.0,Open-Meteo ERA5 archive
2025-09-26,29.2,21.6,0.0,15.7,Open-Meteo ERA5 archive
2025-09-27,29.9,20.8,0.0,16.4,Open-Meteo ERA5 archive
